=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#120: 9 → 1, load=92.0kg
  Req#124: 5 → 1, load=56.1kg
  Req#121: 13 → 1, load=93.1kg
  Req#70: 12 → 1, load=56.2kg
  Req#47: 1 → 8, load=65.9kg
  Req#74: 5 → 1, load=66.0kg
  Req#133: 4 → 9, load=62.7kg
  Req#97: 1 → 8, load=63.1kg
  Req#129: 12 → 1, load=66.2kg
  Req#11: 8 → 6, load=77.2kg
  Req#109: 15 → 1, load=103.5kg
  Req#102: 9 → 6, load=95.1kg
  Req#85: 7 → 11, load=68.8kg
  Req#98: 1 → 10, load=65.0kg
  Req#45: 1 → 3, load=105.6kg
  Req#10: 1 → 6, load=109.1kg
  Req#52: 3 → 11, load=54.1kg
  Req#40: 1 → 8, load=74.7kg
  Req#77: 8 → 1, load=69.7kg
  Req#76: 7 → 6, load=99.2kg
  Req#58: 1 → 7, load=102.9kg
  Req#115: 1 → 7, load=70.3kg
  Req#72: 1 → 14, load=98.6kg
  Req#38: 1 → 4, load=93.4kg
  Req#104: 1 → 6, load=70.2kg
  Req#34: 12 → 1, load=72.4kg
  Req#46: 1 → 5, load=101.9kg
  Req#17: 1 → 9, load=73.7kg
  Req#43: 1 → 9, load=65.0kg
  Req#71: 8 → 11, load=95.0kg
  Req#56: 1 → 7, load=105.7kg
  Req#12: 1 → 12, load=66.0kg
  Req#87: 5 → 1, load=75.2kg
  Req#140: 1 → 3, load=94.6kg
  Req#92: 7 → 1, load=55.6kg
  Req#22: 9 → 1, load=81.7kg
  Req#125: 11 → 14, load=57.3kg
  Req#138: 1 → 10, load=70.6kg
  Req#3: 1 → 2, load=106.3kg
  Req#6: 1 → 10, load=135.1kg
  Req#7: 1 → 8, load=113.7kg
  Req#20: 1 → 6, load=69.8kg
  Req#28: 1 → 11, load=96.8kg
  Req#45: 1 → 9, load=86.9kg
  Req#48: 1 → 5, load=115.3kg
  Req#67: 1 → 9, load=110.6kg
  Req#70: 1 → 12, load=108.9kg
  Req#78: 1 → 12, load=120.9kg
  Req#80: 1 → 14, load=111.6kg
  Req#82: 1 → 5, load=99.8kg
  Req#83: 1 → 9, load=134.2kg
  Req#91: 1 → 13, load=119.1kg
  Req#94: 1 → 13, load=68.0kg
